mac_address,user_id,product_id,rank
QP1A.190711.020,7505,664080,2
QP1A.190711.020,7505,672476,6
QP1A.190711.020,7505,648433,7
QP1A.190711.020,7505,662603,28
QP1A.190711.020,7505,633302,12
QP1A.190711.020,7505,648044,7
QP1A.190711.020,7505,633305,12
QP1A.190711.020,7505,633444,4
QP1A.190711.020,7505,633296,0
QP1A.190711.020,7505,633589,12
QP1A.190711.020,7505,633721,4
QP1A.190711.020,7505,664230,12
QP1A.190711.020,7505,664233,5
QP1A.190711.020,7505,664073,7
950A96F8-F03B-4FDB-8D32-FE7EBF95B25E,7440,648495,18
950A96F8-F03B-4FDB-8D32-FE7EBF95B25E,7440,648501,9
950A96F8-F03B-4FDB-8D32-FE7EBF95B25E,7440,648505,5
950A96F8-F03B-4FDB-8D32-FE7EBF95B25E,7440,648508,5
950A96F8-F03B-4FDB-8D32-FE7EBF95B25E,7440,669103,3
950A96F8-F03B-4FDB-8D32-FE7EBF95B25E,7440,648488,275
d03f5dcf-bccf-447c-ae38-c2c14ddb478e,,639428,7
1d324487-35d9-4097-989e-c01e5d0bdd5f,,618166,6
1d324487-35d9-4097-989e-c01e5d0bdd5f,,280,3
D5118119-FB9D-4D62-8A32-17636401CBBF,,651587,3
D5118119-FB9D-4D62-8A32-17636401CBBF,,650855,365
47550C63-5BA7-49C3-BF80-4DDD8CBC5EA8,6124,649620,73
47550C63-5BA7-49C3-BF80-4DDD8CBC5EA8,6124,643276,99
47550C63-5BA7-49C3-BF80-4DDD8CBC5EA8,6124,648579,2
47550C63-5BA7-49C3-BF80-4DDD8CBC5EA8,6124,650250,33
47550C63-5BA7-49C3-BF80-4DDD8CBC5EA8,6124,643137,168
47550C63-5BA7-49C3-BF80-4DDD8CBC5EA8,6124,643144,1
47550C63-5BA7-49C3-BF80-4DDD8CBC5EA8,6124,648569,7
9568281E-980C-441E-B013-9D2C02B3C404,6268,648577,3
9568281E-980C-441E-B013-9D2C02B3C404,6268,648510,7
9568281E-980C-441E-B013-9D2C02B3C404,6268,645021,9
9568281E-980C-441E-B013-9D2C02B3C404,6268,648488,64
5766d0b1-ab4d-42e3-b08c-613d865f0257,,639855,82
34c6f28e-4dcc-4887-8561-a73b224017c8,,669425,39
34c6f28e-4dcc-4887-8561-a73b224017c8,,669423,38
117caf55-2793-42ef-8442-3836beb20990,,659533,5
117caf55-2793-42ef-8442-3836beb20990,,659484,34
117caf55-2793-42ef-8442-3836beb20990,,659485,10
